protein_id	gene_id	gene_symbol
FBpp0091078	FBgn0053832	His2A:CG33832
FBpp0423076	FBgn0262170	CG42878
FBpp0082341	FBgn0038189	Art6
FBpp0309543	FBgn0085193	CG34164
FBpp0111270	FBgn0085193	CG34164
FBpp0081342	FBgn0037583	Veneno
FBpp0076005	FBgn0047038	ND-13B
FBpp0078219	FBgn0044324	Chro
FBpp0311928	FBgn0044324	Chro
FBpp0078221	FBgn0044324	Chro
FBpp0078220	FBgn0044324	Chro
FBpp0304363	FBgn0044324	Chro
FBpp0291514	FBgn0038606	CG15803
FBpp0311433	FBgn0038606	CG15803
FBpp0110103	FBgn0083949	side-III
FBpp0304823	FBgn0264443	CG43861
FBpp0304822	FBgn0264443	CG43861
FBpp0311557	FBgn0264443	CG43861
FBpp0304821	FBgn0264443	CG43861
FBpp0301687	FBgn0000153	b
FBpp0080119	FBgn0000153	b
FBpp0309589	FBgn0000153	b
FBpp0085625	FBgn0034487	Efhc1.2
FBpp0082102	FBgn0038054	CG5509
FBpp0088908	FBgn0034405	Jheh2
FBpp0311868	FBgn0034405	Jheh2
FBpp0071652	FBgn0034665	CG4372
FBpp0074177	FBgn0030823	TTLL1A
FBpp0305790	FBgn0035607	CG4835
FBpp0291007	FBgn0004368	Ptp4E
FBpp0291008	FBgn0004368	Ptp4E
FBpp0070692	FBgn0004368	Ptp4E
FBpp0310133	FBgn0004368	Ptp4E
FBpp0310132	FBgn0004368	Ptp4E
FBpp0291010	FBgn0004368	Ptp4E
FBpp0070693	FBgn0004368	Ptp4E
FBpp0076378	FBgn0035906	GstO2
FBpp0076377	FBgn0035906	GstO2
FBpp0084718	FBgn0039612	Nepl19
FBpp0310884	FBgn0266488	CG45087
FBpp0307452	FBgn0031498	CG17260
FBpp0310513	FBgn0031498	CG17260
FBpp0077338	FBgn0031498	CG17260
FBpp0078240	FBgn0037409	Osi24
FBpp0309591	FBgn0034540	Lrt
FBpp0291490	FBgn0034540	Lrt
FBpp0424325	FBgn0038788	Sirt2
FBpp0424326	FBgn0038788	Sirt2
FBpp0305188	FBgn0031282	Pex12
FBpp0077675	FBgn0031282	Pex12
FBpp0080837	FBgn0032835	CG16772
FBpp0312121	FBgn0032835	CG16772
FBpp0070637	FBgn0026079	Nsun2
FBpp0077541	FBgn0026398	Or22a
FBpp0081190	FBgn0004782	Ccp84Ab
FBpp0112564	FBgn0063670	CG40228
FBpp0306003	FBgn0063670	CG40228
FBpp0306004	FBgn0063670	CG40228
FBpp0306002	FBgn0063670	CG40228
FBpp0088148	FBgn0039911	CG1909
FBpp0088149	FBgn0039911	CG1909
FBpp0077278	FBgn0031531	CG8840
FBpp0076423	FBgn0035859	CG13678
FBpp0071097	FBgn0000427	dec
FBpp0301952	FBgn0000427	dec
FBpp0071099	FBgn0000427	dec
FBpp0301548	FBgn0000427	dec
FBpp0301549	FBgn0000427	dec
FBpp0071098	FBgn0000427	dec
FBpp0075005	FBgn0036711	CG13727
FBpp0080997	FBgn0032919	pths
FBpp0075238	FBgn0036580	PDCD-5
FBpp0079248	FBgn0032004	CG8292
FBpp0071879	FBgn0034829	CG9899
FBpp0083297	FBgn0038799	MFS9
FBpp0083296	FBgn0038799	MFS9
FBpp0305672	FBgn0032586	Tpr2
FBpp0305671	FBgn0032586	Tpr2
FBpp0080424	FBgn0032586	Tpr2
FBpp0080423	FBgn0032586	Tpr2
FBpp0305670	FBgn0032586	Tpr2
FBpp0082065	FBgn0029512	Aos1
FBpp0073547	FBgn0052643	CG32643
FBpp0111390	FBgn0085309	CG34280
FBpp0307962	FBgn0039859	Mnat9
FBpp0085227	FBgn0039859	Mnat9
FBpp0072826	FBgn0035358	CG14949
FBpp0077423	FBgn0031441	CG9962
FBpp0080257	FBgn0286027	Rnmt
FBpp0311990	FBgn0039754	CG9747
FBpp0084939	FBgn0039754	CG9747
FBpp0073265	FBgn0030242	sofe
FBpp0312030	FBgn0030242	sofe
FBpp0083851	FBgn0039120	Nup98-96
FBpp0293109	FBgn0039120	Nup98-96
FBpp0306915	FBgn0039120	Nup98-96
FBpp0087603	FBgn0033423	Alp6
FBpp0291295	FBgn0266084	Fhos
FBpp0297585	FBgn0266084	Fhos
FBpp0291739	FBgn0266084	Fhos
FBpp0306020	FBgn0266084	Fhos
FBpp0297587	FBgn0266084	Fhos
FBpp0291740	FBgn0266084	Fhos
FBpp0297586	FBgn0266084	Fhos
FBpp0291296	FBgn0266084	Fhos
FBpp0306021	FBgn0266084	Fhos
FBpp0303450	FBgn0020372	TM4SF
FBpp0099644	FBgn0020372	TM4SF
FBpp0072039	FBgn0020372	TM4SF
FBpp0100162	FBgn0065109	ppk11
FBpp0091062	FBgn0053816	His1:CG33816
FBpp0070949	FBgn0029892	CG3184
FBpp0082137	FBgn0026207	mbo
FBpp0073068	FBgn0003206	Ras64B
FBpp0075687	FBgn0011279	Obp69a
FBpp0312002	FBgn0030829	CG12998
FBpp0074168	FBgn0030829	CG12998
FBpp0076848	FBgn0035600	Cyt-c1
FBpp0297223	FBgn0035600	Cyt-c1
FBpp0291400	FBgn0033087	Hsepi
FBpp0085478	FBgn0033087	Hsepi
FBpp0080101	FBgn0032519	CG16957
FBpp0309564	FBgn0032519	CG16957
FBpp0310239	FBgn0261628	CG42711
FBpp0305110	FBgn0031054	Ssu72
FBpp0074516	FBgn0031054	Ssu72
FBpp0310565	FBgn0031054	Ssu72
FBpp0082873	FBgn0051418	CG31418
FBpp0309025	FBgn0260429	CG42524
FBpp0293255	FBgn0260429	CG42524
FBpp0290076	FBgn0260429	CG42524
FBpp0308566	FBgn0050021	metro
FBpp0113061	FBgn0050021	metro
FBpp0087292	FBgn0050021	metro
FBpp0113062	FBgn0050021	metro
FBpp0302987	FBgn0019968	Khc-73
FBpp0312023	FBgn0019968	Khc-73
FBpp0302988	FBgn0019968	Khc-73
FBpp0302989	FBgn0019968	Khc-73
FBpp0086490	FBgn0019968	Khc-73
FBpp0081047	FBgn0032946	nrv3
FBpp0081046	FBgn0032946	nrv3
FBpp0305547	FBgn0032946	nrv3
FBpp0081048	FBgn0032946	nrv3
FBpp0308456	FBgn0265313	CG44286
FBpp0308457	FBgn0265313	CG44286
FBpp0310840	FBgn0265313	CG44286
FBpp0310839	FBgn0265313	CG44286
FBpp0079864	FBgn0026390	Or33c
FBpp0078739	FBgn0004620	GluRIIA
FBpp0082738	FBgn0038425	CG14881
FBpp0082739	FBgn0038425	CG14881
FBpp0312166	FBgn0036853	mRpL21
FBpp0074789	FBgn0036853	mRpL21
FBpp0305426	FBgn0036853	mRpL21
FBpp0423395	FBgn0286976	Osi10a
FBpp0075970	FBgn0052069	CG32069
FBpp0081175	FBgn0037449	CG15185
FBpp0290422	FBgn0033919	CG8547
FBpp0308989	FBgn0033919	CG8547
FBpp0290421	FBgn0033919	CG8547
FBpp0071037	FBgn0029952	CG12689
FBpp0081985	FBgn0260741	CG3281
FBpp0075895	FBgn0036146	nkt
FBpp0074715	FBgn0029094	asf1
FBpp0291576	FBgn0029094	asf1
FBpp0110074	FBgn0034195	Spn53F
FBpp0301752	FBgn0036730	qjt
FBpp0074985	FBgn0036730	qjt
FBpp0303850	FBgn0029980	Dhdds
FBpp0071083	FBgn0029980	Dhdds
FBpp0075325	FBgn0004591	Eig71Ed
FBpp0080908	FBgn0259998	CG17571
FBpp0311699	FBgn0259998	CG17571
FBpp0076146	FBgn0016081	fry
FBpp0297352	FBgn0016081	fry
FBpp0305992	FBgn0016081	fry
FBpp0297350	FBgn0016081	fry
FBpp0305993	FBgn0016081	fry
FBpp0297351	FBgn0016081	fry
FBpp0290650	FBgn0016081	fry
FBpp0305991	FBgn0016081	fry
FBpp0305898	FBgn0011837	Tis11
FBpp0073516	FBgn0011837	Tis11
FBpp0311375	FBgn0011837	Tis11
FBpp0070372	FBgn0015036	Cyp4ae1
FBpp0077145	FBgn0031606	CG15439
FBpp0075678	FBgn0036310	CG10969
FBpp0300170	FBgn0053325	CG33325
FBpp0111683	FBgn0040799	CG13051
FBpp0099441	FBgn0054030	CG34030
FBpp0304896	FBgn0002945	nkd
FBpp0074806	FBgn0002945	nkd
FBpp0304895	FBgn0002945	nkd
FBpp0081622	FBgn0037762	eloF
FBpp0070954	FBgn0029912	Tmf
FBpp0073725	FBgn0030558	Tat
FBpp0308581	FBgn0030558	Tat
FBpp0428275	FBgn0287599	CG46468
FBpp0302807	FBgn0028475	Hrd3
FBpp0083858	FBgn0028475	Hrd3
FBpp0302854	FBgn0051792	CG31792
FBpp0302855	FBgn0051792	CG31792
FBpp0073017	FBgn0035471	Sc2
FBpp0290906	FBgn0038693	unc79
FBpp0290908	FBgn0038693	unc79
FBpp0310906	FBgn0038693	unc79
FBpp0310905	FBgn0038693	unc79
FBpp0290907	FBgn0038693	unc79
FBpp0070704	FBgn0029724	CG15472
FBpp0304575	FBgn0030230	Rph
FBpp0290773	FBgn0030230	Rph
FBpp0071431	FBgn0030230	Rph
FBpp0304574	FBgn0030230	Rph
FBpp0075631	FBgn0036335	mRpL20
FBpp0080162	FBgn0027929	NimB1
FBpp0301775	FBgn0027929	NimB1
FBpp0086938	FBgn0003527	stil
FBpp0070464	FBgn0283545	vilya
FBpp0071126	FBgn0030029	CG15343
FBpp0402882	FBgn0284231	CG46315
FBpp0402881	FBgn0284231	CG46315
FBpp0309577	FBgn0265836	CG44625
FBpp0300985	FBgn0038744	CG4733
FBpp0310665	FBgn0038744	CG4733
FBpp0290339	FBgn0038744	CG4733
FBpp0300986	FBgn0038744	CG4733
FBpp0304937	FBgn0036950	CG6996
FBpp0291861	FBgn0036950	CG6996
FBpp0083415	FBgn0010770	ppan
FBpp0084847	FBgn0262112	sro
FBpp0071699	FBgn0034705	CG11170
FBpp0309746	FBgn0034705	CG11170
FBpp0309747	FBgn0034705	CG11170
